# source_api_id	status	crystal_refs	notes
tracing-core/src/dispatcher.rs::struct::WeakDispatch	missing	-	baseline
tracing-core/src/event.rs::func::child_of	missing	-	baseline
tracing-core/src/event.rs::func::dispatch	missing	-	baseline
tracing-core/src/event.rs::func::fields	missing	-	baseline
tracing-core/src/event.rs::func::is_contextual	missing	-	baseline
tracing-core/src/event.rs::func::is_root	missing	-	baseline
tracing-core/src/event.rs::func::metadata	missing	-	baseline
tracing-core/src/event.rs::func::new	missing	-	baseline
tracing-core/src/event.rs::func::new_child_of	missing	-	baseline
tracing-core/src/event.rs::func::parent	missing	-	baseline
tracing-core/src/event.rs::func::record	missing	-	baseline
tracing-core/src/event.rs::method::Event.dispatch	missing	-	baseline
tracing-core/src/event.rs::struct::Event	missing	-	baseline
tracing-core/src/field.rs::func::callsite	missing	-	baseline
tracing-core/src/field.rs::func::contains	missing	-	baseline
tracing-core/src/field.rs::func::index	missing	-	baseline
tracing-core/src/field.rs::func::is_empty	missing	-	baseline
tracing-core/src/field.rs::func::iter	missing	-	baseline
tracing-core/src/field.rs::func::len	missing	-	baseline
tracing-core/src/field.rs::func::name	missing	-	baseline
tracing-core/src/field.rs::func::record	missing	-	baseline
tracing-core/src/field.rs::method::Field.callsite	missing	-	baseline
tracing-core/src/field.rs::method::ValueSet.callsite	missing	-	baseline
tracing-core/src/field.rs::struct::DebugValue	missing	-	baseline
tracing-core/src/field.rs::struct::DisplayValue	missing	-	baseline
tracing-core/src/field.rs::struct::Empty	missing	-	baseline
tracing-core/src/field.rs::struct::Field	missing	-	baseline
tracing-core/src/field.rs::struct::FieldSet	missing	-	baseline
tracing-core/src/field.rs::struct::Iter	missing	-	baseline
tracing-core/src/field.rs::struct::ValueSet	missing	-	baseline
tracing-core/src/field.rs::trait::ValidLen	missing	-	baseline
tracing-core/src/field.rs::trait::Value	missing	-	baseline
tracing-core/src/field.rs::trait::Visit	missing	-	baseline
tracing-core/src/lib.rs::trait::Sealed	missing	-	baseline
tracing-core/src/lib.rs::type::Once	missing	-	baseline
tracing-core/src/metadata.rs::const::DEBUG	missing	-	baseline
tracing-core/src/metadata.rs::const::ERROR	missing	-	baseline
tracing-core/src/metadata.rs::const::EVENT	missing	-	baseline
tracing-core/src/metadata.rs::const::HINT	missing	-	baseline
tracing-core/src/metadata.rs::const::INFO	missing	-	baseline
tracing-core/src/metadata.rs::const::OFF	missing	-	baseline
tracing-core/src/metadata.rs::const::SPAN	missing	-	baseline
tracing-core/src/metadata.rs::const::TRACE	missing	-	baseline
tracing-core/src/metadata.rs::const::WARN	missing	-	baseline
tracing-core/src/metadata.rs::func::as_str	missing	-	baseline
tracing-core/src/metadata.rs::func::callsite	missing	-	baseline
tracing-core/src/metadata.rs::func::current	missing	-	baseline
tracing-core/src/metadata.rs::func::fields	missing	-	baseline
tracing-core/src/metadata.rs::func::file	missing	-	baseline
tracing-core/src/metadata.rs::func::is_event	missing	-	baseline
tracing-core/src/metadata.rs::func::is_hint	missing	-	baseline
tracing-core/src/metadata.rs::func::is_span	missing	-	baseline
tracing-core/src/metadata.rs::func::level	missing	-	baseline
tracing-core/src/metadata.rs::func::line	missing	-	baseline
tracing-core/src/metadata.rs::func::module_path	missing	-	baseline
tracing-core/src/metadata.rs::func::name	missing	-	baseline
tracing-core/src/metadata.rs::func::target	missing	-	baseline
tracing-core/src/metadata.rs::method::Kind.is_span	missing	-	baseline
tracing-core/src/metadata.rs::method::Level.as_str	missing	-	baseline
tracing-core/src/metadata.rs::struct::Kind	missing	-	baseline
tracing-core/src/metadata.rs::struct::Level	missing	-	baseline
tracing-core/src/metadata.rs::struct::LevelFilter	missing	-	baseline
tracing-core/src/metadata.rs::struct::Metadata	missing	-	baseline
tracing-core/src/metadata.rs::struct::ParseLevelError	missing	-	baseline
tracing-core/src/metadata.rs::struct::ParseLevelFilterError	missing	-	baseline
tracing-core/src/span.rs::func::child_of	missing	-	baseline
tracing-core/src/span.rs::func::contains	missing	-	baseline
tracing-core/src/span.rs::func::fields	missing	-	baseline
tracing-core/src/span.rs::func::from_u64	missing	-	baseline
tracing-core/src/span.rs::func::id	missing	-	baseline
tracing-core/src/span.rs::func::into_inner	missing	-	baseline
tracing-core/src/span.rs::func::into_u64	missing	-	baseline
tracing-core/src/span.rs::func::is_contextual	missing	-	baseline
tracing-core/src/span.rs::func::is_empty	missing	-	baseline
tracing-core/src/span.rs::func::is_known	missing	-	baseline
tracing-core/src/span.rs::func::is_root	missing	-	baseline
tracing-core/src/span.rs::func::len	missing	-	baseline
tracing-core/src/span.rs::func::metadata	missing	-	baseline
tracing-core/src/span.rs::func::new	missing	-	baseline
tracing-core/src/span.rs::func::new_root	missing	-	baseline
tracing-core/src/span.rs::func::none	missing	-	baseline
tracing-core/src/span.rs::func::parent	missing	-	baseline
tracing-core/src/span.rs::func::record	missing	-	baseline
tracing-core/src/span.rs::func::values	missing	-	baseline
tracing-core/src/span.rs::method::Attributes.new	missing	-	baseline
tracing-core/src/span.rs::method::Current.new	missing	-	baseline
tracing-core/src/span.rs::method::Id.from_u64	missing	-	baseline
tracing-core/src/span.rs::method::Record.new	missing	-	baseline
tracing-core/src/span.rs::struct::Attributes	missing	-	baseline
tracing-core/src/span.rs::struct::Current	missing	-	baseline
tracing-core/src/span.rs::struct::Id	missing	-	baseline
tracing-core/src/span.rs::struct::Record	missing	-	baseline
tracing-core/src/spin/once.rs::const::INIT	missing	-	baseline
tracing-core/src/spin/once.rs::struct::Once	missing	-	baseline
tracing-core/src/subscriber.rs::func::always	missing	-	baseline
tracing-core/src/subscriber.rs::func::is_always	missing	-	baseline
tracing-core/src/subscriber.rs::func::is_never	missing	-	baseline
tracing-core/src/subscriber.rs::func::is_sometimes	missing	-	baseline
tracing-core/src/subscriber.rs::func::never	missing	-	baseline
tracing-core/src/subscriber.rs::func::sometimes	missing	-	baseline
tracing-core/src/subscriber.rs::method::Interest.never	missing	-	baseline
tracing-core/src/subscriber.rs::struct::Interest	missing	-	baseline
tracing-core/src/subscriber.rs::struct::NoSubscriber	missing	-	baseline
tracing-core/src/subscriber.rs::trait::Subscriber	missing	-	baseline
tracing-core/tests/common/mod.rs::struct::TestSubscriberA	missing	-	baseline
tracing-core/tests/common/mod.rs::struct::TestSubscriberB	missing	-	baseline
tracing-error/src/backtrace.rs::const::CAPTURED	missing	-	baseline
tracing-error/src/backtrace.rs::const::EMPTY	missing	-	baseline
tracing-error/src/backtrace.rs::const::UNSUPPORTED	missing	-	baseline
tracing-error/src/backtrace.rs::func::capture	missing	-	baseline
tracing-error/src/backtrace.rs::func::new	missing	-	baseline
tracing-error/src/backtrace.rs::func::status	missing	-	baseline
tracing-error/src/backtrace.rs::func::with_spans	missing	-	baseline
tracing-error/src/backtrace.rs::method::SpanTrace.new	missing	-	baseline
tracing-error/src/backtrace.rs::struct::SpanTrace	missing	-	baseline
tracing-error/src/backtrace.rs::struct::SpanTraceStatus	missing	-	baseline
tracing-error/src/error.rs::struct::TracedError	missing	-	baseline
tracing-error/src/error.rs::trait::ExtractSpanTrace	missing	-	baseline
tracing-error/src/error.rs::trait::InstrumentError	missing	-	baseline
tracing-error/src/error.rs::trait::InstrumentResult	missing	-	baseline
tracing-error/src/layer.rs::func::new	missing	-	baseline
tracing-error/src/layer.rs::method::ErrorLayer.new	missing	-	baseline
tracing-error/src/layer.rs::struct::ErrorLayer	missing	-	baseline
tracing-flame/src/error.rs::struct::Error	missing	-	baseline
tracing-flame/src/lib.rs::func::flush	missing	-	baseline
tracing-flame/src/lib.rs::func::flush_on_drop	missing	-	baseline
tracing-flame/src/lib.rs::func::new	missing	-	baseline
tracing-flame/src/lib.rs::func::with_empty_samples	missing	-	baseline
tracing-flame/src/lib.rs::func::with_file	missing	-	baseline
tracing-flame/src/lib.rs::func::with_file_and_line	missing	-	baseline
tracing-flame/src/lib.rs::func::with_module_path	missing	-	baseline
tracing-flame/src/lib.rs::func::with_threads_collapsed	missing	-	baseline
tracing-flame/src/lib.rs::method::FlameLayer.new	missing	-	baseline
tracing-flame/src/lib.rs::method::FlameLayer.with_file	missing	-	baseline
tracing-flame/src/lib.rs::method::FlushGuard.flush	missing	-	baseline
tracing-flame/src/lib.rs::struct::FlameLayer	missing	-	baseline
tracing-flame/src/lib.rs::struct::FlushGuard	missing	-	baseline
tracing-futures/src/executor/futures_01.rs::func::executor	missing	-	baseline
tracing-futures/src/executor/futures_01.rs::func::handle	missing	-	baseline
tracing-futures/src/lib.rs::func::dispatch	missing	-	baseline
tracing-futures/src/lib.rs::func::inner	missing	-	baseline
tracing-futures/src/lib.rs::func::inner_mut	missing	-	baseline
tracing-futures/src/lib.rs::func::inner_pin_mut	missing	-	baseline
tracing-futures/src/lib.rs::func::inner_pin_ref	missing	-	baseline
tracing-futures/src/lib.rs::func::into_inner	missing	-	baseline
tracing-futures/src/lib.rs::func::span	missing	-	baseline
tracing-futures/src/lib.rs::func::span_mut	missing	-	baseline
tracing-futures/src/lib.rs::method::Instrumented.span	missing	-	baseline
tracing-futures/src/lib.rs::struct::Instrumented	missing	-	baseline
tracing-futures/src/lib.rs::struct::WithDispatch	missing	-	baseline
tracing-futures/src/lib.rs::trait::Instrument	missing	-	baseline
tracing-futures/src/lib.rs::trait::WithSubscriber	missing	-	baseline
tracing-journald/src/lib.rs::enum::Priority	missing	-	baseline
tracing-journald/src/lib.rs::func::layer	missing	-	baseline
tracing-journald/src/lib.rs::func::new	missing	-	baseline
tracing-journald/src/lib.rs::func::syslog_identifier	missing	-	baseline
tracing-journald/src/lib.rs::func::with_field_prefix	missing	-	baseline
tracing-journald/src/lib.rs::func::with_priority_mappings	missing	-	baseline
tracing-journald/src/lib.rs::func::with_syslog_identifier	missing	-	baseline
tracing-journald/src/lib.rs::method::Layer.new	missing	-	baseline
tracing-journald/src/lib.rs::method::PriorityMappings.new	missing	-	baseline
tracing-journald/src/lib.rs::struct::Layer	missing	-	baseline
tracing-journald/src/lib.rs::struct::PriorityMappings	missing	-	baseline
tracing-log/src/interest_cache.rs::func::with_lru_cache_size	missing	-	baseline
tracing-log/src/interest_cache.rs::func::with_min_verbosity	missing	-	baseline
tracing-log/src/interest_cache.rs::method::InterestCacheConfig.with_min_verbosity	missing	-	baseline
tracing-log/src/interest_cache.rs::struct::InterestCacheConfig	missing	-	baseline
tracing-log/src/lib.rs::func::format_trace	missing	-	baseline
tracing-log/src/lib.rs::trait::AsLog	missing	-	baseline
tracing-log/src/lib.rs::trait::AsTrace	missing	-	baseline
tracing-log/src/lib.rs::trait::NormalizeEvent	missing	-	baseline
tracing-log/src/lib.rs::trait::Sealed	missing	-	baseline
tracing-log/src/log_tracer.rs::func::builder	missing	-	baseline
tracing-log/src/log_tracer.rs::func::ignore_crate	missing	-	baseline
tracing-log/src/log_tracer.rs::func::init	missing	-	baseline
tracing-log/src/log_tracer.rs::func::init_with_filter	missing	-	baseline
tracing-log/src/log_tracer.rs::func::new	missing	-	baseline
tracing-log/src/log_tracer.rs::func::with_interest_cache	missing	-	baseline
tracing-log/src/log_tracer.rs::func::with_max_level	missing	-	baseline
tracing-log/src/log_tracer.rs::method::Builder.new	missing	-	baseline
tracing-log/src/log_tracer.rs::method::LogTracer.builder	missing	-	baseline
tracing-log/src/log_tracer.rs::struct::Builder	missing	-	baseline
tracing-log/src/log_tracer.rs::struct::LogTracer	missing	-	baseline
tracing-mock/src/ancestry.rs::enum::ExpectedAncestry	missing	-	baseline
tracing-mock/src/event.rs::func::at_level	missing	-	baseline
tracing-mock/src/event.rs::func::in_scope	missing	-	baseline
tracing-mock/src/event.rs::func::with_ancestry	missing	-	baseline
tracing-mock/src/event.rs::struct::ExpectedEvent	missing	-	baseline
tracing-mock/src/expect.rs::func::event	missing	-	baseline
tracing-mock/src/expect.rs::func::id	missing	-	baseline
tracing-mock/src/expect.rs::func::is_contextual_root	missing	-	baseline
tracing-mock/src/expect.rs::func::is_explicit_root	missing	-	baseline
tracing-mock/src/expect.rs::func::msg	missing	-	baseline
tracing-mock/src/expect.rs::func::span	missing	-	baseline
tracing-mock/src/field.rs::func::and	missing	-	baseline
tracing-mock/src/field.rs::func::only	missing	-	baseline
tracing-mock/src/field.rs::func::with_value	missing	-	baseline
tracing-mock/src/field.rs::method::ExpectedField.with_value	missing	-	baseline
tracing-mock/src/field.rs::method::ExpectedFields.and	missing	-	baseline
tracing-mock/src/field.rs::struct::ExpectedField	missing	-	baseline
tracing-mock/src/field.rs::struct::ExpectedFields	missing	-	baseline
tracing-mock/src/layer.rs::func::event	missing	-	baseline
tracing-mock/src/layer.rs::func::mock	missing	-	baseline
tracing-mock/src/layer.rs::func::named	missing	-	baseline
tracing-mock/src/layer.rs::func::on_register_dispatch	missing	-	baseline
tracing-mock/src/layer.rs::func::only	missing	-	baseline
tracing-mock/src/layer.rs::func::run	missing	-	baseline
tracing-mock/src/layer.rs::func::run_with_handle	missing	-	baseline
tracing-mock/src/layer.rs::method::MockLayerBuilder.named	missing	-	baseline
tracing-mock/src/layer.rs::struct::MockLayer	missing	-	baseline
tracing-mock/src/layer.rs::struct::MockLayerBuilder	missing	-	baseline
tracing-mock/src/span.rs::func::at_level	missing	-	baseline
tracing-mock/src/span.rs::func::with_ancestry	missing	-	baseline
tracing-mock/src/span.rs::func::with_id	missing	-	baseline
tracing-mock/src/span.rs::method::NewSpan.with_ancestry	missing	-	baseline
tracing-mock/src/span.rs::struct::ExpectedId	missing	-	baseline
tracing-mock/src/span.rs::struct::ExpectedSpan	missing	-	baseline
tracing-mock/src/span.rs::struct::NewSpan	missing	-	baseline
tracing-mock/src/subscriber.rs::func::assert_finished	missing	-	baseline
tracing-mock/src/subscriber.rs::func::event	missing	-	baseline
tracing-mock/src/subscriber.rs::func::mock	missing	-	baseline
tracing-mock/src/subscriber.rs::func::named	missing	-	baseline
tracing-mock/src/subscriber.rs::func::on_register_dispatch	missing	-	baseline
tracing-mock/src/subscriber.rs::func::only	missing	-	baseline
tracing-mock/src/subscriber.rs::func::run	missing	-	baseline
tracing-mock/src/subscriber.rs::func::run_with_handle	missing	-	baseline
tracing-mock/src/subscriber.rs::func::with_max_level_hint	missing	-	baseline
tracing-mock/src/subscriber.rs::method::MockSubscriber.named	missing	-	baseline
tracing-mock/src/subscriber.rs::struct::MockHandle	missing	-	baseline
tracing-mock/src/subscriber.rs::struct::MockSubscriber	missing	-	baseline
tracing-serde/src/fields.rs::struct::SerializeFieldMap	missing	-	baseline
tracing-serde/src/fields.rs::trait::AsMap	missing	-	baseline
tracing-serde/src/lib.rs::func::finish	missing	-	baseline
tracing-serde/src/lib.rs::func::new	missing	-	baseline
tracing-serde/src/lib.rs::func::take_serializer	missing	-	baseline
tracing-serde/src/lib.rs::method::SerdeMapVisitor.new	missing	-	baseline
tracing-serde/src/lib.rs::method::SerdeStructVisitor.finish	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerdeMapVisitor	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerdeStructVisitor	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeAttributes	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeEvent	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeField	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeFieldSet	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeId	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeLevel	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeMetadata	missing	-	baseline
tracing-serde/src/lib.rs::struct::SerializeRecord	missing	-	baseline
tracing-serde/src/lib.rs::trait::AsSerde	missing	-	baseline
tracing-serde/src/lib.rs::trait::Sealed	missing	-	baseline
tracing-subscriber/src/field/debug.rs::func::new	missing	-	baseline
tracing-subscriber/src/field/debug.rs::method::Alt.new	missing	-	baseline
tracing-subscriber/src/field/debug.rs::struct::Alt	missing	-	baseline
tracing-subscriber/src/field/delimited.rs::func::new	missing	-	baseline
tracing-subscriber/src/field/delimited.rs::method::Delimited.new	missing	-	baseline
tracing-subscriber/src/field/delimited.rs::method::VisitDelimited.new	missing	-	baseline
tracing-subscriber/src/field/delimited.rs::struct::Delimited	missing	-	baseline
tracing-subscriber/src/field/delimited.rs::struct::VisitDelimited	missing	-	baseline
tracing-subscriber/src/field/display.rs::func::new	missing	-	baseline
tracing-subscriber/src/field/display.rs::method::Messages.new	missing	-	baseline
tracing-subscriber/src/field/display.rs::struct::Messages	missing	-	baseline
tracing-subscriber/src/field/mod.rs::struct::MakeExtMarker	missing	-	baseline
